id,word,url,pronounce,explanation
1052,histeris,https://kbbi.kata.web.id/histeris/,his.te.ris,bersifat histeria: disambut dengan teriakan histeris
1053,historis,https://kbbi.kata.web.id/historis/,his.to.ris,(1) berkenaan dengan sejarah; bertalian atau ada hubungannya dengan masa lampau; (2) bersejarah
1054,hit,https://kbbi.kata.web.id/hit/,,populer (tentang lagu-lagu): lagu-lagu yang diperdengarkan kebanyakan modifikasi dari lagu-lagu yang pernah hit
1055,hitam putih,https://kbbi.kata.web.id/hitam-putih/,hi.tam-pu.tih,"keadaan (ketentuan, hal) yang sebenarnya"
1056,holistis,https://kbbi.kata.web.id/holistis/,ho.lis.tis,berhubungan dengan sistem keseluruhan sebagai suatu kesatuan lebih daripada sekadar kumpulan bagian
1057,holografis,https://kbbi.kata.web.id/holografis/,ho.lo.gra.fis,tentang tulisan dengan tangan sendiri (seperti surat-menyurat)
1058,holozoik,https://kbbi.kata.web.id/holozoik/,ho.lo.zo.ik,istilah biologi bersifat mengambil makanan dari lingkungan dalam bentuk padat
1059,hominoid,https://kbbi.kata.web.id/hominoid/,ho.mi.no.id,menyerupai atau berkenaan dengan manusia
1060,homogen,https://kbbi.kata.web.id/homogen/,ho.mo.gen,"terdiri atas jenis, macam, sifat, watak, dan sebagainya yang sama"
1061,homoterm,https://kbbi.kata.web.id/homoterm/,ho.mo.term,keadaan suhu danau yang sama dari permukaan sampai ke dasarnya
1062,honorer,https://kbbi.kata.web.id/honorer/,ho.no.rer,"(1) bersifat sebagai kehormatan: anggota honorer , wasit honorer; (2) bersifat menerima honorarium (bukan gaji tetap): guru honorer , pegawai honorer"
1063,honorifik,https://kbbi.kata.web.id/honorifik/,ho.no.ri.fik,berkenaan dengan penggunaan ungkapan penghormatan dalam bahasa untuk menyapa orang tertentu
1064,horizontal,https://kbbi.kata.web.id/horizontal/,ho.ri.zon.tal,terletak pada garis atau bidang yang sejajar dengan horizon atau garis datar; mendatar
1065,humanistis,https://kbbi.kata.web.id/humanistis/,hu.ma.nis.tis,bersifat kemanusiaan: menanamkan watak humanistis ke dalam jiwa anak didik merupakan kewajiban kita sebagai guru
1066,humoristis,https://kbbi.kata.web.id/humoristis/,hu.mo.ris.tis,"(1) secara humor (lucu, bergurau, berkelakar, menggembirakan, dan sebagainya) : membicarakan soal-soal serius secara humoristis; (2) bersifat humor: cerita-cerita yang humoristis"
1067,iba,https://kbbi.kata.web.id/iba/,,berbelas kasihan; terharu dan kasihan: sangat iba hatiku melihat anak itu
1068,ideal,https://kbbi.kata.web.id/ideal/,ide.al,sangat sesuai dengan yang dicita-citakan atau diangan-angankan atau dikehendaki: gadis itu sangat ideal untuk menjadi peragawati
1069,idealistis,https://kbbi.kata.web.id/idealistis/,ide.a.lis.tis,berwatak seorang idealis; bersifat menuju cita-cita: sikap hidupnya yang idealistis menyebabkan ia tidak mudah menyerah pada rintangan
1070,identik,https://kbbi.kata.web.id/identik/,iden.tik,(1) sama benar; tidak berbeda sedikit pun: keputusan pbb tidak harus selalu identik dengan kepentingan negara-negara besar; (2) sama dan sebangun
1071,ideologis,https://kbbi.kata.web.id/ideologis/,ide.o.lo.gis,menyangkut atau berkenaan dengan ideologi
1072,idiil,https://kbbi.kata.web.id/idiil/,idi.il,bersangkutan dengan gagasan dasar bernegara atau falsafah kenegaraan
1073,igau-igauan,https://kbbi.kata.web.id/igau-igauan/,igau.an,ramai sekali; riuh rendah: kuda itu tidak mau lari karena mendengar suara igau-igauan
1074,ijtimaiah,https://kbbi.kata.web.id/ijtimaiah/,ij.ti.ma.i.ah,berkenaan dengan masyarakat
1075,ikal,https://kbbi.kata.web.id/ikal/,,"berkeluk-keluk atau mengombak (tentang rambut): rambutnya ikal , lebat, dan hitam"
1076,ikhlas,https://kbbi.kata.web.id/ikhlas/,ikh.las,bersih hati; tulus hati: memberi pertolongan dengan ikhlas; mereka benar-benar ikhlas
1077,ikhtiari,https://kbbi.kata.web.id/ikhtiari/,ikh.ti.a.ri,atas kehendak sendiri; atas kemauan sendiri
1078,ilegal,https://kbbi.kata.web.id/ilegal/,ile.gal,tidak legal; tidak menurut hukum; tidak sah: orang asing itu masuk ke indonesia secara ilegal
1079,ilmiah,https://kbbi.kata.web.id/ilmiah/,il.mi.ah,bersifat ilmu; secara ilmu pengetahuan; memenuhi syarat (kaidah) ilmu pengetahuan: penerbitan majalah ilmiah berkembang dengan pesat
1080,ilu,https://kbbi.kata.web.id/ilu/,,arkais (tidak lazim) bersifat menimbulkan rasa iba (pilu) dalam hati: dengan suara lembut ia berkata ilu seakan-akan bermohon
1081,ilusi,https://kbbi.kata.web.id/ilusi/,ilu.si,tidak dapat dipercaya; palsu
1082,ilustratif,https://kbbi.kata.web.id/ilustratif/,ilus.tra.tif,"bersifat ilustrasi; bersifat menerangkan (men-jelaskan, menghias)"
1083,imajinatif,https://kbbi.kata.web.id/imajinatif/,ima.ji.na.tif,mempunyai atau menggunakan imajinasi; bersifat khayal
1084,imbak,https://kbbi.kata.web.id/imbak/,,dl keadaan terombang-ambing: mereka turut imbak tidak tentu nasibnya
1085,imbesil,https://kbbi.kata.web.id/imbesil/,im.be.sil,istilah psikologi (1) dalam keadaan mempunyai kecerdasan berpikir yang sangat rendah pada orang dewasa (iq sekitar 40-60); (2) dungu; bodoh sekali
1086,imitatif,https://kbbi.kata.web.id/imitatif/,imi.ta.tif,bersifat tiruan
1087,imperfek,https://kbbi.kata.web.id/imperfek/,im.per.fek,tidak sempurna
1088,imperial,https://kbbi.kata.web.id/imperial/,im.pe.ri.al,mengenai atau berhubungan dengan kekaisaran atau kerajaan
1089,impersonal,https://kbbi.kata.web.id/impersonal/,im.per.so.nal,tidak bersifat pribadi; tidak berkaitan dengan (tidak mengenai) seseorang
1090,implisit,https://kbbi.kata.web.id/implisit/,im.pli.sit,"(1) termasuk (terkandung) di dalamnya (meskipun tidak dinyatakan secara jelas atau terang-terangan); tersimpul di dalamnya; terkandung halus; tersirat; (2) mutlak tanpa ragu-ragu; secara tulus (tentang kepercayaan, dukungan, kepatuhan, dan sebagainya) "
1091,impoten,https://kbbi.kata.web.id/impoten/,im.po.ten,(1) tidak ada daya untuk bersanggama; mati pucuk; lemah syahwat; (2) tidak mempunyai tenaga; tidak dapat berbuat apa-apa
1092,impresif,https://kbbi.kata.web.id/impresif/,im.pre.sif,(1) dapat memberi atau meninggalkan kesan yang dalam; mengharukan; mengesankan; (2) dapat mem-pengaruhi perbuatan atau tindakan: warna-warna dipilih dalam komposisi yang impresif
1093,impresionistik,https://kbbi.kata.web.id/impresionistik/,im.pre.si.o.nis.tik,berkaitan dengan im-presionis: karya sastranya senantiasa memperlihatkan suasana impresionistik
1094,impulsif,https://kbbi.kata.web.id/impulsif/,im.pul.sif,bersifat cepat bertindak secara tiba-tiba menurut gerak hati
1095,imun,https://kbbi.kata.web.id/imun/,,"kebal terhadap suatu penyakit: kalau sudah disuntik tcd, orang akan imun terhadap penyakit tipus, kolera, dan disentri"
1096,imut-imut,https://kbbi.kata.web.id/imut-imut/,,"manis, mungil, dan menggemaskan"
1097,incang-incut,https://kbbi.kata.web.id/incang-incut/,in.cang-in.cut,(1) tidak lurus betul; mencong: anak saya yang baru belajar menjahit incang-incut jahitannya; (2) timpang (tentang kaki meja karena pendek sebelah)
1098,indikatif,https://kbbi.kata.web.id/indikatif/,in.di.ka.tif,(1) bersifat atau mengandung indikasi; (2) istilah linguistik berhubungan dengan bentuk verba yang menggambarkan keadaan nyata
1099,individualistis,https://kbbi.kata.web.id/individualistis/,in.di.vi.du.a.lis.tis,sesuai dengan kehendak individualis; ber-sifat individualis
1100,indranila,https://kbbi.kata.web.id/indranila/,in.dra.ni.la,hijau gelap kebiru-biruan
1101,indriawi,https://kbbi.kata.web.id/indriawi/,in.dria.wi,menurut pengindraan
1102,induktif,https://kbbi.kata.web.id/induktif/,in.duk.tif,bersifat (secara) induksi
1103,inferensial,https://kbbi.kata.web.id/inferensial/,in.fe.ren.si.al,dapat disimpulkan
1104,inferior,https://kbbi.kata.web.id/inferior/,in.fe.ri.or,(1) bermutu rendah; (2) kiasan (merasa) rendah diri
1105,infertil,https://kbbi.kata.web.id/infertil/,in.fer.til,tidak (kurang) subur
1106,infleksibel,https://kbbi.kata.web.id/infleksibel/,in.flek.si.bel,"istilah linguistik hanya mempunyai satu bentuk dan tidak dapat memperoleh infleksi untuk menun-jukkan kasus, jenis, jumlah, dan sebagainya"
1107,infleksif,https://kbbi.kata.web.id/infleksif/,in.flek.sif,bersifat infleksi
1108,informal,https://kbbi.kata.web.id/informal/,in.for.mal,tidak resmi: para kiai adalah pemimpin informal dalam masyarakat
1109,informatif,https://kbbi.kata.web.id/informatif/,in.for.ma.tif,"bersifat memberi informasi; bersifat mene-rangkan: penerangan harus bersifat edukatif, stimulatif, informatif , dan persuasif"
1110,inggung,https://kbbi.kata.web.id/inggung/,ing.gung,goyang; guncang
1111,inheren,https://kbbi.kata.web.id/inheren/,in.he.ren,(1) berhubungan erat (dengan); tidak dapat diceraikan; melekat: bahasa itu inheren dengan kehidupan manusia; (2) yang menjadi sifat
1112,inkognito,https://kbbi.kata.web.id/inkognito/,in.kog.ni.to,secara tidak resmi (tidak dikenal); dengan menyamar sebagai orang kebanyakan; dengan menyembunyikan identitas
1113,inkomplet,https://kbbi.kata.web.id/inkomplet/,in.kom.plet,tidak lengkap
1114,inkonsisten,https://kbbi.kata.web.id/inkonsisten/,in.kon.sis.ten,"(1) tidak taat asas; suka berubah-ubah (tentang sikap atau pendirian seseorang, pemakaian atau pengejaan kata, dan sebagainya) ; (2) mempunyai bagian-bagian yang tidak bersesuaian; bertentangan; kontradiktif: pemberian itu inkonsisten; (3) tidak serasi; tidak sesuai; tidak cocok: tindakan orang itu inkonsisten dengan ucapan atau anjuran sendiri"
1115,inkonstitusional,https://kbbi.kata.web.id/inkonstitusional/,in.kon.sti.tu.si.o.nal,istilah politik tidak berdasarkan konstitusi atau undang-undang dasar; bertentangan dengan (melanggar) undang-undang dasar: usaha penggantian kepala negara secara inkonstitusional perlu dicegah sedini mungkin
1116,inkonvensional,https://kbbi.kata.web.id/inkonvensional/,in.kon.ven.si.o.nal,(1) tidak menurut konvensi; (2) tidak sesuai dengan adat kebiasaan; menyimpang dari kebiasaan: tidak lazim: pemilihan kepala desa itu dilakukan secara inkonvensional
1117,inovatif,https://kbbi.kata.web.id/inovatif/,ino.va.tif,bersifat memperkenalkan sesuatu yang baru; ber-sifat pembaruan (kreasi baru): kita mencoba memecahkan masalah pendidikan yang kronis dengan cara-cara inovatif
1118,insidental,https://kbbi.kata.web.id/insidental/,in.si.den.tal,terjadi atau dilakukan hanya pada kesempatan atau waktu tertentu saja; tidak secara tetap atau rutin; sewaktu-waktu: pemberantasan kejahatan tidak dapat dilakukan sepintas lalu dan insidental saja
1119,insinuatif,https://kbbi.kata.web.id/insinuatif/,in.si.nu.a.tif,bersifat menyindir; bersifat memberi tuduhan secara tidak langsung: berita radio itu telah dinilai sebagai insinuatif dan konfrontatif
1120,insolven,https://kbbi.kata.web.id/insolven/,in.sol.ven,tidak memiliki cukup dana untuk melunasi utang
1121,instruksional,https://kbbi.kata.web.id/instruksional/,in.struk.si.o.nal,"tentang atau bersifat pengajaran; mengandung pelajaran (petunjuk, penerangan): sebagai mata pelajaran tambahan perlu diwajibkan bagi pelajar menonton film instruksional"
1122,instrumental,https://kbbi.kata.web.id/instrumental/,in.stru.men.tal,"(1) istilah musik (tentang lagu) yang dibawakan dengan memakai alat-alat musik, tidak dinyanyikan; (2) istilah linguistik nama kasus atau peran semantik suatu frasa nomina yang menyatakan atau berfungsi sebagai alat"
1123,insuler,https://kbbi.kata.web.id/insuler/,in.su.ler,(1) tentang atau berkenaan dengan pulau; (2) istilah kedokteran (tentang penyakit dan sebagainya) terdapat pada tempat-tempat yang terpisah di dalam tubuh
1124,intelek,https://kbbi.kata.web.id/intelek/,in.te.lek,terpelajar; cendekia: kaum intelek
1125,inteligen,https://kbbi.kata.web.id/inteligen/,in.te.li.gen,mempunyai atau menunjukkan ting-kat kecerdasan yang tinggi; berpikiran tajam; cerdas; berakal
1126,intens,https://kbbi.kata.web.id/intens/,in.tens,"(1) hebat atau sangat kuat (tentang kekuatan, efek, dan sebagainya) ; (2) tinggi (tentang mutu); (3) bergelora, penuh semangat, berapi-api, berkobar-kobar (tentang perasaan); (4) sangat emosional (tentang orang)"
1127,intensif,https://kbbi.kata.web.id/intensif/,in.ten.sif,secara sungguh-sungguh dan terus menerus dalam mengerjakan sesuatu hingga memperoleh hasil yang optimal
1128,intensional,https://kbbi.kata.web.id/intensional/,in.ten.sio.nal,berdasarkan niat atau keingin-an: kesalahan prosedur itu harus dilihat dalam konteks apakah intensional atau tanpa niat
1129,interaktif,https://kbbi.kata.web.id/interaktif/,in.ter.ak.tif,(1) bersifat saling melakukan aksi; antar-hubungan; saling aktif; (2) istilah komputer berkaitan dengan dialog antara komputer dan terminal atau antara komputer dan komputer
1130,interdisipliner,https://kbbi.kata.web.id/interdisipliner/,in.ter.di.si.pli.ner,antardisiplin atau bidang studi
1131,interinsuler,https://kbbi.kata.web.id/interinsuler/,in.ter.in.su.ler,dari pulau ke pulau; antarpulau
1132,internal,https://kbbi.kata.web.id/internal/,in.ter.nal,"(1) menyangkut bagian dalam (tubuh, diri, mobil, dan sebagainya) ; (2) dalam (negeri)"
1133,interogatif,https://kbbi.kata.web.id/interogatif/,in.te.ro.ga.tif,(1) menunjukkan atau mengandung pertanya-an: pandangan (air muka) interogatif; (2) istilah linguistik bentuk verba atau tipe kalimat yang digunakan untuk mengungkapkan pertanyaan
1134,interpretatif,https://kbbi.kata.web.id/interpretatif/,in.ter.pre.ta.tif,"bersifat adanya kesan, pen-dapat, dan pandangan; berhubungan dengan adanya tafsiran"
1135,intertestial,https://kbbi.kata.web.id/intertestial/,in.ter.tes.ti.al,berkaitan dengan atau terletak di antara bagian atau sela jaringan
1136,intramolekul,https://kbbi.kata.web.id/intramolekul/,in.tra.mo.le.kul,mengenai pemasukan ke dalam molekul atau ke dalam struktur molekul
1137,intramuskuler,https://kbbi.kata.web.id/intramuskuler/,in.tra.mus.ku.ler,"istilah kedokteran mengenai pemasuk-an (tentang suntikan) ke dalam otot: obat suntik tidak dimasukkan secara intravena, melainkan intramuskuler"
1138,intravaskuler,https://kbbi.kata.web.id/intravaskuler/,in.tra.vas.ku.ler,istilah kedokteran dalam pembuluh darah
1139,intrinsik,https://kbbi.kata.web.id/intrinsik/,in.trin.sik,"terkandung di dalamnya (tentang kadar logam mulia dalam mata uang, harkat seseorang, atau suatu peristiwa): nilai intrinsik mata uang, nilai logam yang terkandung di dalamnya, biasanya kurang dari nilai yang tertera di atasnya"
1140,introver,https://kbbi.kata.web.id/introver/,in.tro.ver,"(1) bersifat suka memendam rasa dan pikiran sendiri dan tidak mengutarakannya kepada orang lain; bersifat tertutup; (2) istilah zoologi (struktur yang) melekuk ke dalam, seperti struktur hewan bertulang belakang"
1141,iram,https://kbbi.kata.web.id/iram/,,"menjadi pucat, berubah warnanya (tentang warna kain dan sebagainya) ; luntur: kain itu iram karena dijemur di panas matahari"
1142,irit,https://kbbi.kata.web.id/irit/,,hemat; tidak boros: penggunaan bensin mobil ini irit
1143,iritatif,https://kbbi.kata.web.id/iritatif/,iri.ta.tif,bersifat mengganggu: penyebab lain yang sering ditemukan ialah antara lain infeksi rongga hidung dan akibat polutan yang iritatif
1144,ironis,https://kbbi.kata.web.id/ironis/,iro.nis,bersifat ironicontoh kalimat: adalah kenyataan ironis bahwa pemerintah masih harus mengimpor bahan pangan dari negara tetangga
1145,iseng,https://kbbi.kata.web.id/iseng/,,sekadar main-main saja (dp menganggur) untuk perintang-rintang waktu
1146,islami,https://kbbi.kata.web.id/islami/,is.la.mi,bersifat keislaman: akhlak islami
1147,islamiah,https://kbbi.kata.web.id/islamiah/,is.la.mi.ah,berkenaan dengan agama islam; bersifat islam: tindak kekerasan itu tidak islamiah karena islam mengutamakan kebajikan
1148,isobarik,https://kbbi.kata.web.id/isobarik/,iso.ba.rik,"istilah fisika mempunyai tekanan sama atau tetap, baik terhadap ruang maupun waktu"
1149,isolatif,https://kbbi.kata.web.id/isolatif/,iso.la.tif,bersifat isolasi; dalam keadaan terisolasi: nilai-nilai tradisi yang bertendensi isolatif harus diupayakan menjadi lebih adaptif
1150,isometrik,https://kbbi.kata.web.id/isometrik/,iso.me.trik,/isometrik/ (1) berkenaan dengan atau memiliki ukuran yang sama dengan yang lainnya; (2) istilah fisika isokorik
1151,isopiestik,https://kbbi.kata.web.id/isopiestik/,iso.pi.es.tik,istilah fisika berkenaan dengan tekanan yang sama; isobarik
1152,isotermal,https://kbbi.kata.web.id/isotermal/,iso.ter.mal,"istilah fisika keadaan bersuhu tetap atau sama, baik terhadap ruang maupun waktu"
1153,istan,https://kbbi.kata.web.id/istan/,is.tan,(1) tidak tetap; (2) sembrono
1154,istimaiah,https://kbbi.kata.web.id/istimaiah/,is.ti.ma.iah,bersifat mendengarkan
1155,istimewa,https://kbbi.kata.web.id/istimewa/,is.ti.me.wa,"(1) khas (untuk tujuan dan sebagainya yang tentu); khusus: sekolah istimewa didirikan untuk anak-anak tunarungu dan tunawicara; (2) lain daripada yang lain; luar biasa: di kota itu ia mendapat sambutan istimewa; (3) terutama; lebih-lebih: ia pandai melukis, istimewa gambar pemandangan"
1156,isytiak,https://kbbi.kata.web.id/isytiak/,isy.ti.ak,perasaan tertarik hati seorang hamba kepada allah ketika berkomunikasi dengan-nya untuk mendapatkan kenikmatan
1157,jabrik,https://kbbi.kata.web.id/jabrik/,jab.rik,cakapan (tidak baku) lebat dan kaku seperti sikat (tentang rambut)
1158,jahil,https://kbbi.kata.web.id/jahil/,ja.hil,(1) bodoh; tidak tahu (terutama tentang ajaran agama): para ulama berkewajiban menuntun golongan jahil dan bebal; (2) cakapan (tidak baku) jail
1159,jahiriah,https://kbbi.kata.web.id/jahiriah/,ja.hi.ri.ah,jahar
1160,jahul,https://kbbi.kata.web.id/jahul/,ja.hul,jahat; jahil
1161,jail,https://kbbi.kata.web.id/jail/,ja.il,cakapan (tidak baku) (1) dengki; (2) suka mengganggu (menggoda dan sebagainya) orang lain; nakal: tangan-tangan jail
1162,jalal,https://kbbi.kata.web.id/jalal/,ja.lal,mahamulia
1163,jalanan,https://kbbi.kata.web.id/jalanan/,ja.lan.an,berkaitan dengan sepanjang jalan (tanpa tempat yang tentu); bermutu rendah: musik jalanan; pelukis jalanan
1164,jamil,https://kbbi.kata.web.id/jamil/,ja.mil,bagus; indah
1165,jangak,https://kbbi.kata.web.id/jangak/,ja.ngak,tidak senonoh tingkah lakunya; risau; cabul
1166,jangla,https://kbbi.kata.web.id/jangla/,jang.la,suka berkeliaran ke mana-mana; liar; tidak jinak
1167,jantina,https://kbbi.kata.web.id/jantina/,jan.ti.na,akronim dari (1) nomina (kata benda) kelamin (seks); (2) biseksual (dari jantan dan betina)
1168,jarang,https://kbbi.kata.web.id/jarang/,ja.rang,"(1) renggang atau lebar jaraknya (tidak rapat tentang tulisan, tumbuhan, tanaman, gigi, dan sebagainya) ; bersela-sela; tidak kerap (tentang tenunan, anyaman, dan sebagainya) ; (2) tidak merata (hanya di sana-sini); (3) tidak padat (tentang penduduk di suatu daerah)lihat jerang"
1169,jarang-jarang,https://kbbi.kata.web.id/jarang-jarang/,ja.rang-ja.rang,"tidak kerap kali (terjadi, ada, dan sebagainya) ; terdapat tidak merata dan tidak banyak; tidak lazim"
1170,jarem,https://kbbi.kata.web.id/jarem/,ja.rem,"masih terasa agak nyeri (bekas dipijat, dipukul, bekas luka, dan sebagainya) lihat rumput"
1171,jarotan,https://kbbi.kata.web.id/jarotan/,ja.rot.an,tua dan keras
1172,jasmaniah,https://kbbi.kata.web.id/jasmaniah/,jas.ma.ni.ah,berhubungan dengan jasmani; mengenai tubuh atau badan: nasihat dan bimbingan itu disesuaikan dengan tingkat pertumbuhan rohaniah dan jasmaniah para remaja
1173,jatmika,https://kbbi.kata.web.id/jatmika/,jat.mi.ka,"selalu sopan santun (tentang tingkah laku, gerak-gerik, dan sebagainya) "
1174,jauh,https://kbbi.kata.web.id/jauh/,ja.uh,"(1) panjang antaranya (jaraknya); tidak dekat: rumah kami jauh dari pasar; (2) banyak sekali; amat; sangat (tentang perbedaan, selisih atau kekurangan): ia berasal dari tempat yang jauh; anak itu jauh lebih besar daripada kakaknya; (3) belum sampai kepada yang dimaksudkan (ditetapkan): tawaranmu masih jauh; (4) sangat kurang: keadaannya masih jauh dari sempurna; (5) lanjut (tentang usia): sudah jauh umur ayah; (6) renggang; tidak rapat (tentang persahabatan): sanak saudara yang jauh"
1175,jaya,https://kbbi.kata.web.id/jaya/,ja.ya,selalu berhasil; sukses; hebat
1176,jebab,https://kbbi.kata.web.id/jebab/,je.bab,lebar (tentang muka)
1177,jeding,https://kbbi.kata.web.id/jeding/,je.ding,berbentuk melentik ke atas (tentang bibir)
1178,jegang,https://kbbi.kata.web.id/jegang/,je.gang,(1) tegang; kaku; (2) tegak kaku; (3) liat
1179,jejal,https://kbbi.kata.web.id/jejal/,je.jal-ber.je.jal,penuh sesak; penuh hingga berasak-asak: pengunjung yang jejal menyebabkan penjagaan semakin diperketat
1180,jejas,https://kbbi.kata.web.id/jejas/,je.jas,"lecet (tergores, luka sedikit, dan sebagainya) pada kulit: berkali-kali ditikamnya, tetapi tidak jejas sedikit juga; tidak jejas oleh senjata"
1181,jelak,https://kbbi.kata.web.id/jelak/,je.lak,jemu (akan makanan dan sebagainya) ; puas; kenyang: ia sudah jelak makan durian
1182,jelang,https://kbbi.kata.web.id/jelang/,je.lang-men.je.lang,cair; encer (tentang susu dan sebagainya)
1183,jelas,https://kbbi.kata.web.id/jelas/,je.las,(1) terang; nyata; gamblang
1184,jelata,https://kbbi.kata.web.id/jelata/,je.la.ta,"bukan bangsawan atau hartawan (tentang rakyat, orang); biasa"
1185,jelita,https://kbbi.kata.web.id/jelita/,je.li.ta,"(1) cantik sekali; elok (tentang wajah): pada masa mudanya dia merupakan seorang gadis jelita; (2) kiasan indah; manis (tentang kota, pemandangan alam, dan sebagainya) : jakarta, dengan hiasan lampu-lampu jalanan, tampak jelita di malam hari"
1186,jelu,https://kbbi.kata.web.id/jelu/,je.lu,berasal dari bahasa jawa mendongkol; kesal hati
1187,jembar,https://kbbi.kata.web.id/jembar/,jem.bar,"(1) luas, lebar; (2) lapang dada (hati)"
1188,jember,https://kbbi.kata.web.id/jember/,jem.ber,berasal dari bahasa jawa kotor dan lembap
1189,jemu,https://kbbi.kata.web.id/jemu/,je.mu,"sudah tidak suka lagi (makan, melihat, dan sebagainya) karena terlalu sering dan sebagainya; bosan: saya sudah jemu dengan keadaan seperti ini"
1190,jenak,https://kbbi.kata.web.id/jenak/,,nyenyak; pulas (tentang tidur)
1191,jendol,https://kbbi.kata.web.id/jendol/,jen.dol,jendul
1192,jendul,https://kbbi.kata.web.id/jendul/,jen.dul,benjol; bincul; jenggul
1193,jeneng,https://kbbi.kata.web.id/jeneng/,je.neng,miring; condong
1194,jengah,https://kbbi.kata.web.id/jengah/,je.ngah,malu; kemalu-maluan
1195,jengkel,https://kbbi.kata.web.id/jengkel/,jeng.kel,kesal (tentang perasaan); mendongkol: saya merasa jengkel karena ia tidak mau mengindahkan nasihat saya
1196,jengker,https://kbbi.kata.web.id/jengker/,jeng.ker,[sd] kaku (tentang badan)
1197,jenjang,https://kbbi.kata.web.id/jenjang/,jen.jang,panjang dan langsing (tentang leher): rambut gadis itu bersanggul rapi sehingga lehernya yang jenjang tampak indah
1198,jentaka,https://kbbi.kata.web.id/jentaka/,jen.ta.ka,istilah sastra celaka; sengsara; sial
1199,jera,https://kbbi.kata.web.id/jera/,je.ra,"tidak mau (berani dan sebagainya) berbuat lagi; kapok; serik: meskipun sudah dua kali dipenjara, ia belum juga jera"
1200,jerah,https://kbbi.kata.web.id/jerah/,je.rah,sedang musim (tentang buah-buahan); sedang banyak berjangkit (tentang penyakit dan sebagainya)
1201,jerahak,https://kbbi.kata.web.id/jerahak/,je.ra.hak-ter.je.ra.hak,tidak terpelihara; terlantar; terbengkalai
1202,jerau,https://kbbi.kata.web.id/jerau/,je.rau,merah tua
1203,jeraus,https://kbbi.kata.web.id/jeraus/,je.ra.us,sigap; tangkas; cekatan
1204,jernih,https://kbbi.kata.web.id/jernih/,jer.nih,(1) terlihat terang (tentang air); bening; bersih; tidak keruh: air itu jernih; (2) kiasan berseri (tentang muka); tidak muram: mukanya jernih pertanda hatinya bersih; (3) kiasan tidak kacau; runtut (tentang jalan pikiran dan sebagainya)
1205,jerungkis,https://kbbi.kata.web.id/jerungkis/,je.rung.kis,bengkok ke atas pada ujungnya; terjungkit
1206,jigrah,https://kbbi.kata.web.id/jigrah/,jig.rah,penuh semangat menyala-nyala; gembira
1207,jimat,https://kbbi.kata.web.id/jimat/,ji.mat,"arkais (tidak lazim) (1) hemat (dalam membelanjakan uang); (2) teliti, cermat (tentang pekerjaan dan sebagainya) ; saksama"
1208,jitu,https://kbbi.kata.web.id/jitu/,ji.tu,tepat benar; kena benar: tendangannya sangat jitu
1209,jodoh,https://kbbi.kata.web.id/jodoh/,jo.doh,"cocok; tepat: ia telah meminum obat itu, tetapi tidak jodoh"
1210,jolong,https://kbbi.kata.web.id/jolong/,jo.long-men.jo.long,jo.longarkais (tidak lazim) men.jo.longverba (kata kerja) menganjur (menjulur) ke luar; tampak panjang lancipberasal dari bahasa minangkabau mula-mula; mulai; pertama-tama (tentang pohon yang mulai berbuah dan sebagainya)
1211,jorok,https://kbbi.kata.web.id/jorok/,jo.rok-men.jo.rok,(1) kotor; (2) cemar; (3) kiasan cabul
1212,juak,https://kbbi.kata.web.id/juak/,,menganjur ke atas (tinggi)verba (kata kerja) ber.ju.akverba (kata kerja) berjumpa dengan tiba-tiba
1213,judes,https://kbbi.kata.web.id/judes/,ju.des,lekas marah dan suka membentak-bentak atau menyakiti hati orang; ketus; tajam mulut: seorang sekretaris harus ramah dan tidak boleh judes
1214,juih,https://kbbi.kata.web.id/juih/,ju.ih,"bengkok (terbalik) ke bawah pada tepinya (tentang bibir, mangkuk, dan sebagainya) "
1215,jujai,https://kbbi.kata.web.id/jujai/,ju.jai-ber.ju.jai,"terus-menerus, tidak berhentinya (tentang hujan, orang yang pergi datang, dan sebagainya) "
1216,jumbuh,https://kbbi.kata.web.id/jumbuh/,jum.buh,sesuai; selaras
1217,jumbul,https://kbbi.kata.web.id/jumbul/,,"(dalam keadaan) terkatung-katung turun naik; terapung-terapung: apabila air pasang, kura-kura pun jumbul pada permukaan air"
1218,junior,https://kbbi.kata.web.id/junior/,ju.ni.or,"(1) lebih muda, khususnya antara dua orang bersaudara (kakak beradik) atau antara bapak dan anak yang mempunyai nama akhir sama; (2) berpangkat atau berkedudukan lebih rendah; lebih muda keanggotaannya: (mahasiswa, pegawai, pemain) junior"
1219,juvenil,https://kbbi.kata.web.id/juvenil/,ju.ve.nil,"(1) muda, masuk golongan pemuda; terjadinya semasa masih muda; (2) istilah psikologi berkaitan dengan orang muda, biasanya di bawah umur yang masih dalam wajib belajar"
1220,kabir,https://kbbi.kata.web.id/kabir/,,"besar, me.nga.birverba (kata kerja) mengaut (tanah dan sebagainya) arah ke diri sendiri"
1221,kadir,https://kbbi.kata.web.id/kadir/,ka.dir,mahakuasa
1222,kafaah,https://kbbi.kata.web.id/kafaah/,ka.fa.ah,seimbang: kedua laki-laki dan wanita yang akan membentuk rumah tangga sebaiknya kafaah dalam segala-galanya
